cas_number,agent,iarc_group,year
224-41-9,"Dibenz[a,j]anthracene",3,2010
224-42-0,"Dibenz[a,j]acridine",2A,2013
224-53-3,"Dibenz[c,h]acridine",2B,2013
225-11-6,Benz[a]acridine,3,2013
225-51-4,Benz[c]acridine,3,2013
226-36-8,"Dibenz[a,h]acridine",2B,2013
238-84-6,Benzo[a]fluorene,3,2010
239-35-0,"Benzo[b]naphtho[2,1-d]thiophene",3,2013
243-17-4,Benzo[b]fluorene,3,2010
262-12-4,Dibenzo-para-dioxin,3,1997
271-89-6,Benzofuran,2B,1995
298-00-0,Methyl parathion,3,1987
298-81-7,Methoxsalen (8-methoxypsoralen) plus ultraviolet A radiation,1,2012
299-75-2,Treosulfan,1,2012
302-01-2,Hydrazine,2A,2018
302-17-0,Chloral hydrate,2A,2014
303-34-4,Lasiocarpine,2B,1987
303-47-9,Ochratoxin A,2B,1993
305-03-3,Chlorambucil,1,2012
313-67-7,Aristolochic acid,1,2012
313-67-7,"Aristolochic acid, plants containing",1,2012
314-13-6,Evans blue,3,1987
315-18-4,Zectran,3,1987
315-22-0,Monocrotaline,2B,1987
320-67-2,Azacitidine,2A,1990
331-39-5,Caffeic acid,2B,1993
333-41-5,Diazinon,2A,2017
334-88-3,Diazomethane,3,1987
335-67-1,Perfluorooctanoic acid (PFOA),2B,2017
366-70-1,Procarbazine hydrochloride,2A,1987
396-01-0,Triamterene,2B,2016
420-12-2,Ethylene sulfide,3,1987
439-14-5,Diazepam,3,1996
443-48-1,Metronidazole,2B,1987
446-86-6,Azathioprine,1,2012
480-54-6,Retrorsine,3,1987
480-81-9,Seneciphylline,3,1987
484-20-8,5-Methoxypsoralen,2A,1987
492-17-1,"2,4'-Diphenyldiamine",3,1987
492-80-8,Auramine,2B,2012
493-52-7,Methyl red,3,1987
494-03-1,Chlornaphazine,1,2012
494-38-2,Acridine orange,3,1987
501-30-4,Kojic acid,3,2001
505-60-2,Sulfur mustard,1,2012
509-14-8,Tetranitromethane,2B,1996
510-15-6,Chlorobenzilate,3,1987
513-37-1,1-Chloro-2-methylpropene,2B,1995
518-75-2,Citrinin,3,1987
520-18-3,Kaempferol,3,1987
523-44-4,CI Acid Orange 20,3,1987
523-50-2,Angelicin plus ultraviolet A radiation,3,1987
